,Fold,Model,Precision,Recall,F1,Acc,TPR,FPR,LRPOS,LRNEG,ROC
0,0,MLP,0.9813016900395541,0.9805825242718447,0.9805715332478475,0.9805825242718447,0.9607843137254902,0.0,inf,0.039215686274509776,0.9803921568627452
1,1,MLP,0.9477736859725477,0.941747572815534,0.9415158870255957,0.941747572815534,0.8823529411764706,0.0,inf,0.11764705882352944,0.9411764705882353
2,2,MLP,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,0.9803921568627451,0.0,inf,0.019607843137254943,0.9901960784313725
3,3,MLP,0.9904779686333085,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.9807692307692307,0.0,inf,0.019230769230769273,0.9903846153846153
4,4,MLP,0.9813152592049825,0.9805825242718447,0.9805788633601311,0.9805825242718447,0.9615384615384616,0.0,inf,0.038461538461538436,0.9807692307692308
5,5,MLP,0.9639894086496027,0.9611650485436893,0.9611210844477011,0.9611650485436893,0.9230769230769231,0.0,inf,0.07692307692307687,0.9615384615384616
6,6,MLP,0.9811320754716981,0.9803921568627451,0.9803846153846153,0.9803921568627451,0.9607843137254902,0.0,inf,0.039215686274509776,0.9803921568627452
7,0,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
8,1,SVM,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,0.9803921568627451,0.0,inf,0.019607843137254943,0.9901960784313725
9,2,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
10,3,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
11,4,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
12,5,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
13,6,SVM,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
14,0,Random Forest,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,0.9803921568627451,0.0,inf,0.019607843137254943,0.9901960784313725
15,1,Random Forest,0.9710568319934396,0.970873786407767,0.970873786407767,0.970873786407767,0.9803921568627451,0.038461538461538464,25.49019607843139,0.02039215686274514,0.9709653092006033
16,2,Random Forest,0.9904779686333085,0.9902912621359223,0.9902912621359223,0.9902912621359223,1.0,0.019230769230769232,51.999999999999886,0.0,0.9903846153846154
17,3,Random Forest,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,1.0,0.0196078431372549,50.99999999999989,0.0,0.9901960784313726
18,4,Random Forest,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,1.0,0.0196078431372549,50.99999999999989,0.0,0.9901960784313726
19,5,Random Forest,0.9904744458692069,0.9902912621359223,0.9902894311622562,0.9902912621359223,1.0,0.0196078431372549,50.99999999999989,0.0,0.9901960784313726
20,6,Random Forest,0.9903846153846154,0.9901960784313726,0.990195136018456,0.9901960784313726,0.9803921568627451,0.0,inf,0.019607843137254943,0.9901960784313725
21,0,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
22,1,Majority-Voting-Ensemble,0.9813016900395541,0.9805825242718447,0.9805715332478475,0.9805825242718447,0.9607843137254902,0.0,inf,0.039215686274509776,0.9803921568627452
23,2,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
24,3,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
25,4,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
26,5,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
27,6,Majority-Voting-Ensemble,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0
